Timestamp,Frequency_MHz,Power_dB
2025-04-27_02-50-51,913.800,21.21
2025-04-27_02-50-51,913.800,23.83
2025-04-27_02-50-51,913.800,27.58
2025-04-27_02-50-52,913.800,20.92
2025-04-27_02-50-52,913.800,26.69
2025-04-27_02-50-52,913.800,19.19
2025-04-27_02-50-53,913.800,20.04
2025-04-27_02-50-53,913.800,17.22
2025-04-27_02-50-53,913.800,15.38
2025-04-27_02-50-54,913.800,12.20
2025-04-27_02-50-54,913.800,23.22
2025-04-27_02-50-55,913.800,20.11
2025-04-27_02-50-55,913.800,21.33
2025-04-27_02-50-55,913.800,16.21
2025-04-27_02-50-56,913.800,13.62
2025-04-27_02-50-56,913.800,16.64
2025-04-27_02-50-56,913.800,21.42
2025-04-27_02-50-57,913.800,14.53
2025-04-27_02-50-57,913.800,16.97
2025-04-27_02-50-57,913.800,21.06
2025-04-27_02-50-58,913.800,24.46
2025-04-27_02-50-58,913.800,20.30
2025-04-27_02-50-59,913.800,24.24
2025-04-27_02-50-59,913.800,11.31
2025-04-27_02-50-59,913.800,20.90
2025-04-27_02-51-00,913.800,13.18
2025-04-27_02-51-00,913.800,15.81
2025-04-27_02-51-00,913.800,17.73
2025-04-27_02-51-01,913.800,19.15
2025-04-27_02-51-01,913.800,20.40
2025-04-27_02-51-01,913.800,20.37
2025-04-27_02-51-07,913.800,27.88
2025-04-27_02-51-08,913.800,22.08
2025-04-27_02-51-08,913.800,24.54
2025-04-27_02-51-09,913.800,21.25
2025-04-27_02-51-09,913.800,11.64
2025-04-27_02-51-09,913.800,14.72
2025-04-27_02-51-10,913.800,19.05
2025-04-27_02-51-10,913.800,21.36
2025-04-27_02-51-10,913.800,17.18
2025-04-27_02-51-11,913.800,15.61
2025-04-27_02-51-11,913.800,23.77
2025-04-27_02-51-11,913.800,17.85
2025-04-27_02-51-12,913.800,13.54
2025-04-27_02-51-12,913.800,26.76
2025-04-27_02-51-13,913.800,25.34
2025-04-27_02-51-13,913.800,18.37
2025-04-27_02-51-13,913.800,23.02
2025-04-27_02-51-14,913.800,26.03
2025-04-27_02-51-14,913.800,21.38
2025-04-27_02-51-14,913.800,25.97
2025-04-27_02-51-15,913.800,12.28
2025-04-27_02-51-15,913.800,18.10
2025-04-27_02-51-16,913.800,15.25
2025-04-27_02-51-16,913.800,21.39
2025-04-27_02-51-16,913.800,20.27
2025-04-27_02-51-17,913.800,18.92
2025-04-27_02-51-17,913.800,14.89
2025-04-27_02-51-17,913.800,20.85
2025-04-27_02-51-18,913.800,13.91
2025-04-27_02-51-18,913.800,24.27
2025-04-27_02-51-18,913.800,25.00
2025-04-27_02-51-19,913.800,22.10
2025-04-27_02-51-19,913.800,27.01
2025-04-27_02-51-20,913.800,24.74
2025-04-27_02-51-20,913.800,12.84
2025-04-27_02-51-20,913.800,22.51
2025-04-27_02-51-21,913.800,19.34
2025-04-27_02-51-21,913.800,14.78
2025-04-27_02-51-21,913.800,8.87
2025-04-27_02-51-22,913.800,24.57
2025-04-27_02-51-22,913.800,26.51
2025-04-27_02-51-23,913.800,26.89
2025-04-27_02-51-23,913.800,24.48
2025-04-27_02-51-23,913.800,24.69
2025-04-27_02-51-24,913.800,21.38
2025-04-27_02-51-24,913.800,15.39
2025-04-27_02-51-24,913.800,14.98
2025-04-27_02-51-25,913.800,9.13
2025-04-27_02-51-25,913.800,23.09
2025-04-27_02-51-26,913.800,22.74
2025-04-27_02-51-26,913.800,22.65
2025-04-27_02-51-33,913.800,17.63
2025-04-27_02-51-33,913.800,24.43
2025-04-27_02-51-34,913.800,13.28
2025-04-27_02-51-34,913.800,18.65
2025-04-27_02-51-35,913.800,28.16
2025-04-27_02-51-35,913.800,24.05
2025-04-27_02-51-35,913.800,16.57
2025-04-27_02-51-36,913.800,23.19
2025-04-27_02-51-36,913.800,20.23
2025-04-27_02-51-36,913.800,24.35
2025-04-27_02-51-37,913.800,23.36
2025-04-27_02-51-37,913.800,24.77
2025-04-27_02-51-38,913.800,26.43
2025-04-27_02-51-38,913.800,21.85
2025-04-27_02-51-38,913.800,10.63
2025-04-27_02-51-39,913.800,31.15
2025-04-27_02-51-39,913.800,14.45
2025-04-27_02-51-39,913.800,17.33
2025-04-27_02-51-40,913.800,19.92
2025-04-27_02-51-40,913.800,19.87
2025-04-27_02-51-41,913.800,22.16
2025-04-27_02-51-41,913.800,21.20
2025-04-27_02-51-41,913.800,25.40
2025-04-27_02-51-42,913.800,24.98
2025-04-27_02-51-42,913.800,18.28
2025-04-27_02-51-42,913.800,15.05
2025-04-27_02-51-43,913.800,15.01
2025-04-27_02-51-43,913.800,21.47
2025-04-27_02-51-44,913.800,14.79
2025-04-27_02-51-44,913.800,19.98
2025-04-27_02-51-44,913.800,30.76
2025-04-27_02-51-45,913.800,27.69
2025-04-27_02-51-45,913.800,16.73
2025-04-27_02-51-45,913.800,21.70
2025-04-27_02-51-46,913.800,24.82
2025-04-27_02-51-46,913.800,15.83
2025-04-27_02-51-47,913.800,15.60
2025-04-27_02-51-47,913.800,24.42
2025-04-27_02-51-47,913.800,24.18
2025-04-27_02-51-48,913.800,27.02
2025-04-27_02-51-48,913.800,20.03
2025-04-27_02-51-48,913.800,18.90
2025-04-27_02-51-49,913.800,25.49
2025-04-27_02-51-49,913.800,22.81
2025-04-27_02-51-50,913.800,24.09
2025-04-27_02-51-50,913.800,23.07
2025-04-27_02-51-50,913.800,21.16
2025-04-27_02-51-51,913.800,11.34
2025-04-27_02-51-51,913.800,25.60
2025-04-27_02-51-51,913.800,21.92
2025-04-27_02-51-52,913.800,31.98
2025-04-27_02-51-52,913.800,29.26
2025-04-27_02-51-53,913.800,18.60
2025-04-27_02-51-53,913.800,28.12
2025-04-27_02-51-53,913.800,15.70
2025-04-27_02-52-02,913.800,24.24
2025-04-27_02-52-02,913.800,24.97
2025-04-27_02-52-03,913.800,24.42
2025-04-27_02-52-03,913.800,14.18
2025-04-27_02-52-03,913.800,18.15
2025-04-27_02-52-04,913.800,21.93
2025-04-27_02-52-04,913.800,22.07
2025-04-27_02-52-05,913.800,9.69
2025-04-27_02-52-05,913.800,23.10
2025-04-27_02-52-05,913.800,13.85
2025-04-27_02-52-06,913.800,21.62
2025-04-27_02-52-06,913.800,24.40
2025-04-27_02-52-06,913.800,9.50
2025-04-27_02-52-07,913.800,24.49
2025-04-27_02-52-07,913.800,29.33
2025-04-27_02-52-08,913.800,25.91
2025-04-27_02-52-08,913.800,19.25
